,_index,_type,_id,_score,author,timestamp,message,tokenize_message,tanslated_text,language,polarity,subjectivity,sentiment,country,hashtags,keyword,sentiment_ML
0,tweets-sentiment_2,new-tweet,wvI7VG0BakvBqqeYK5Rd,1.0,NiusDiario,2019-09-21T14:17:14+00:00,"📺 #VistoyOído | Repasamos contigo cuáles han sido los cinco momento más destacados de la semana. Rosalía, Beatriz L… https://t.co/2vrNTs0a1v","['📺', '#', 'vistoyoid', '|', 'repas', 'contig', 'cual', 'han', 'sid', 'los', 'cinc', 'moment', 'mas', 'destac', 'de', 'la', 'seman', '.', 'rosal', ',', 'beatriz', 'l…', 'https', ':', '//t.co/2vrnts0a1v']","📺 #VistoyOído | Repasamos contigo cuáles han sido los cinco momento más destacados de la semana. Rosalía, Beatriz L… https://t.co/2vrNTs0a1v",,0.0,0.0,neutral,,Vistoyoído,['rosalia'],positive
1,tweets-sentiment_2,new-tweet,tvI7VG0BakvBqqeYE5S4,1.0,eso_no_basta,2019-09-21T14:19:39+00:00,"Vendo boli y regalo entradas PISTA ROSALÍA en Madrid 10 de dic. Interesados MD. Ruego máxima difusión, gracias

#SingaporeGP","['vend', 'boli', 'y', 'regal', 'entrad', 'pist', 'rosal', 'en', 'madr', '10', 'de', 'dic', '.', 'interes', 'md', '.', 'rueg', 'maxim', 'difusion', ',', 'graci', '#', 'singaporegp']","Vendo boli y regalo entradas PISTA ROSALÍA en Madrid 10 de dic. Interesados MD. Ruego máxima difusión, gracias

#SingaporeGP",,0.0,0.0,neutral,namek,Singaporegp,['rosalia'],positive
2,tweets-sentiment_2,new-tweet,efI6VG0BakvBqqeY8JTl,1.0,smokevin18,2019-09-21T14:23:30+00:00,"RT @PepeStalin: Rosalía es un fantástico medidor de gaznápiros. Igual os quedáis sin entrada para sus conciertos, pero la estupidez no tien…","['rt', '@', 'pepestalin', ':', 'rosal', 'es', 'un', 'fantast', 'medidor', 'de', 'gaznapir', '.', 'igual', 'os', 'qued', 'sin', 'entrad', 'par', 'sus', 'conciert', ',', 'per', 'la', 'estupidez', 'no', 'tien…']","RT @PepeStalin: Rosalía es un fantástico medidor de gaznápiros. Igual os quedáis sin entrada para sus conciertos, pero la estupidez no tien…",,0.0,0.0,neutral,Nayarit,,['rosalia'],negative
3,tweets-sentiment_2,new-tweet,NfI7VG0BakvBqqeYZZUQ,1.0,GuidoBCor,2019-09-21T14:07:12+00:00,"Las entradas de Rosalía no se han agotado. Las tiene una página de reventa, y al doble de precio https://t.co/GoWtEav6gB vía @magnet_es","['las', 'entrad', 'de', 'rosal', 'no', 'se', 'han', 'agot', '.', 'las', 'tien', 'una', 'pagin', 'de', 'revent', ',', 'y', 'al', 'dobl', 'de', 'preci', 'https', ':', '//t.co/gowteav6gb', 'via', '@', 'magnet_']","Las entradas de Rosalía no se han agotado. Las tiene una página de reventa, y al doble de precio https://t.co/GoWtEav6gB vía @magnet_es",,0.0,0.0,neutral,Madrid,,['rosalia'],neutral
4,tweets-sentiment_2,new-tweet,w_I7VG0BakvBqqeYLZQP,1.0,_aarii_14,2019-09-21T14:17:08+00:00,"RT @momorelojero: Soy el unico que creia que la cancion de Rosalia decia “Cobertura” en vez de “Con altura”? 
Todo este tiempo cantando com…","['rt', '@', 'momorelojer', ':', 'soy', 'el', 'unic', 'que', 'crei', 'que', 'la', 'cancion', 'de', 'rosali', 'deci', '“', 'cobertur', '”', 'en', 'vez', 'de', '“', 'con', 'altur', '”', '?', 'tod', 'este', 'tiemp', 'cant', 'com…']","RT @momorelojero: Soy el unico que creia que la cancion de Rosalia decia “Cobertura” en vez de “Con altura”? 
Todo este tiempo cantando com…",,0.0,0.0,neutral,,,['rosalia'],positive
5,tweets-sentiment_2,new-tweet,vfI7VG0BakvBqqeYIZRZ,1.0,lovelytini_,2019-09-21T14:17:41+00:00,RT @tve_tve: Tini Stoessel visita nuestro país y aprovecha para reaccionar a algunos de los videoclips españoles con más visitas del moment…,"['rt', '@', 'tve_tv', ':', 'tini', 'stoessel', 'visit', 'nuestr', 'pais', 'y', 'aprovech', 'par', 'reaccion', 'a', 'algun', 'de', 'los', 'videoclips', 'español', 'con', 'mas', 'visit', 'del', 'moment…']",RT @tve_tve: Tini Stoessel visita nuestro país y aprovecha para reaccionar a algunos de los videoclips españoles con más visitas del moment…,,0.0,0.0,neutral,,,['rosalia'],negative
6,tweets-sentiment_2,new-tweet,_fI7VG0BakvBqqeYT5SQ,1.0,SoniaFides,2019-09-21T14:12:56+00:00,"RT @Elasombrario: Víctor Coyote: “Tengo influencias de las Rosalías, Rosalía de Castro y la otra” https://t.co/vZpsB4jMMN","['rt', '@', 'elasombrari', ':', 'victor', 'coyot', ':', '“', 'teng', 'influenci', 'de', 'las', 'rosal', ',', 'rosal', 'de', 'castr', 'y', 'la', 'otra', '”', 'https', ':', '//t.co/vzpsb4jmmn']","RT @Elasombrario: Víctor Coyote: “Tengo influencias de las Rosalías, Rosalía de Castro y la otra” https://t.co/vZpsB4jMMN",,0.0,0.0,neutral,,,['rosalia'],negative
7,tweets-sentiment_2,new-tweet,MfI6VG0BakvBqqeY0ZTI,1.0,hectorceteee,2019-09-21T14:28:13+00:00,RT @Joze_ard: A los del concierto de ROSALÍA que nos han dejado sin entradas https://t.co/Qw5w8oAMHV,"['rt', '@', 'joze_ard', ':', 'a', 'los', 'del', 'conciert', 'de', 'rosal', 'que', 'nos', 'han', 'dej', 'sin', 'entrad', 'https', ':', '//t.co/qw5w8oamhv']",RT @Joze_ard: A los del concierto de ROSALÍA que nos han dejado sin entradas https://t.co/Qw5w8oAMHV,,0.0,0.0,neutral,Gata,,['rosalia'],neutral
8,tweets-sentiment_2,new-tweet,OfI6VG0BakvBqqeY25Qu,1.0,mluzloor,2019-09-21T14:27:48+00:00,RT @lucisuxx: las entradas para los conciertos de fin de gira de rosalía  https://t.co/UihxJAPufw,"['rt', '@', 'lucisuxx', ':', 'las', 'entrad', 'par', 'los', 'conciert', 'de', 'fin', 'de', 'gir', 'de', 'rosal', 'https', ':', '//t.co/uihxjapufw']",RT @lucisuxx: las entradas para los conciertos de fin de gira de rosalía  https://t.co/UihxJAPufw,,0.0,0.0,neutral,,,['rosalia'],neutral
9,tweets-sentiment_2,new-tweet,x_I7VG0BakvBqqeYNZQX,1.0,stuckonylovato,2019-09-21T14:16:13+00:00,RT @mxrveII: 💛 compro entrada para rosalía en madrid ¡¡¡pista!!! 💛,"['rt', '@', 'mxrveii', ':', '💛', 'compr', 'entrad', 'par', 'rosal', 'en', 'madr', '¡¡¡pist', '!', '!', '!', '💛']",RT @mxrveII: 💛 compro entrada para rosalía en madrid ¡¡¡pista!!! 💛,,0.0,0.0,neutral,Anya,,['rosalia'],neutral
